Image ID,Ground Truth Pose,Other Pose,Difference
0898,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],"[-0.74368062  0.5716511   0.34663259 -0.12200829 -0.65607985 -0.52444039
 -0.54269836  0.04829191 -0.12844599 -0.63101291  0.76506492  0.02412953
  0.          0.          0.          1.        ]",2.6502665038759643
0746,"[ 0.21294567  0.9682456   0.13097548 -0.22129607 -0.93837364  0.24001652
 -0.24869089  0.37278976 -0.27223007 -0.06994639  0.95968662  0.58328526
  0.          0.          0.          1.        ]","[-0.68146327  0.68325964  0.26222933 -0.18110065 -0.61242485 -0.33622578
 -0.71546361  0.34383133 -0.40067911 -0.64815788  0.64757067  0.19579387
  0.          0.          0.          1.        ]",1.4681397655479218
1210,"[ 0.84820098 -0.15831861  0.50546062 -0.82665238 -0.08205975  0.90348594
  0.42068918  0.20589933 -0.52327952 -0.39830682  0.7533459   0.90095238
  0.          0.          0.          1.        ]","[-0.74632313  0.0121685   0.66547251 -0.93858838 -0.52935084 -0.61694275
 -0.58238242  0.13859554  0.40347171 -0.78691397  0.46688005  0.40497371
  0.          0.          0.          1.        ]",2.733148825585796
1010,"[ 0.22516059 -0.23888282  0.94458342 -0.46666908  0.67671098  0.73583165
  0.02478221  0.24630889 -0.70097431  0.63362993  0.32733479  0.88840896
  0.          0.          0.          1.        ]","[-0.85115027  0.33667264  0.40273424 -0.27292021 -0.18471237  0.52606028
 -0.83014579  0.2942792  -0.49134987 -0.78096879 -0.38556875  1.74774949
  0.          0.          0.          1.        ]",2.575234958825959
