Image ID,Ground Truth Pose,Other Pose,Difference
0790,"[ 0.98052002  0.0181668   0.19557723 -2.87994394 -0.07125026  0.96079044
  0.2679648  -3.96367002 -0.18304067 -0.27667978  0.94336865  0.99762004
  0.          0.          0.          1.        ]","[ 0.98052002  0.0181668   0.19557723 -2.87994394 -0.07125026  0.96079044
  0.2679648  -3.96367002 -0.18304067 -0.27667978  0.94336865  0.99762004
  0.          0.          0.          1.        ]",0.0
0766,"[1.         0.         0.         2.72403503 0.         1.
 0.         4.13659671 0.         0.         1.         0.68425202
 0.         0.         0.         1.        ]","[1.         0.         0.         2.72403503 0.         1.
 0.         4.13659671 0.         0.         1.         0.68425202
 0.         0.         0.         1.        ]",0.0
