Image ID,Ground Truth Pose,Other Pose,Difference
0309,"[ 0.95946512 -0.18871627  0.20931522 -6.6109619   0.1098564   0.93439492
  0.33887713  0.49654351 -0.25953471 -0.30214617  0.91725102  2.15533921
  0.          0.          0.          1.        ]","[ 0.95946512 -0.18871627  0.20931522 -6.6109619   0.1098564   0.93439492
  0.33887713  0.49654351 -0.25953471 -0.30214617  0.91725102  2.15533921
  0.          0.          0.          1.        ]",0.0
0414,"[ 0.96554973 -0.25354797  0.05854185 -5.71486961  0.19494861  0.85383575
  0.48265883 -2.54550772 -0.17236229 -0.45461845  0.8738497  -0.23300784
  0.          0.          0.          1.        ]","[ 0.96554973 -0.25354797  0.05854185 -5.71486961  0.19494861  0.85383575
  0.48265883 -2.54550772 -0.17236229 -0.45461845  0.8738497  -0.23300784
  0.          0.          0.          1.        ]",0.0
0393,"[ 0.91744868 -0.05610953 -0.39387769  2.86337842  0.19708069  0.92409957
  0.32741286  0.18995922  0.34561122 -0.37801018  0.85887204  0.05267222
  0.          0.          0.          1.        ]","[ 0.91744868 -0.05610953 -0.39387769  2.86337842  0.19708069  0.92409957
  0.32741286  0.18995922  0.34561122 -0.37801018  0.85887204  0.05267222
  0.          0.          0.          1.        ]",0.0
0351,"[ 0.94199776  0.0186935  -0.33509817  2.97210839  0.11371747  0.92160983
  0.37108443 -0.05991542  0.31576663 -0.38766721  0.86602862  1.04860166
  0.          0.          0.          1.        ]","[ 0.94199776  0.0186935  -0.33509817  2.97210839  0.11371747  0.92160983
  0.37108443 -0.05991542  0.31576663 -0.38766721  0.86602862  1.04860166
  0.          0.          0.          1.        ]",0.0
0330,"[ 0.9299274   0.03720984 -0.3658558   3.67600394  0.12034879  0.90929004
  0.39838147 -0.60102272  0.34749274 -0.41449615  0.84109556  0.60325519
  0.          0.          0.          1.        ]","[ 0.9299274   0.03720984 -0.3658558   3.67600394  0.12034879  0.90929004
  0.39838147 -0.60102272  0.34749274 -0.41449615  0.84109556  0.60325519
  0.          0.          0.          1.        ]",0.0
0372,"[ 0.99161997 -0.12911563 -0.00435847 -3.36225739  0.12204149  0.92515688
  0.35943098  0.07786476 -0.04237589 -0.35695085  0.93316149  1.50376707
  0.          0.          0.          1.        ]","[ 0.99161997 -0.12911563 -0.00435847 -3.36225739  0.12204149  0.92515688
  0.35943098  0.07786476 -0.04237589 -0.35695085  0.93316149  1.50376707
  0.          0.          0.          1.        ]",0.0
