Image ID,Ground Truth Pose,Other Pose,Difference
0603,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],"[ 0.21551303  0.9728835   0.08397518 -0.06393861 -0.96431993  0.19849559
  0.17517582  0.07225699  0.15375696 -0.11873161  0.98094934  0.19324907
  0.          0.          0.          1.        ]",1.804643597081347
0645,"[ 0.92796791  0.19294486  0.31882267  0.45446841 -0.36805942  0.34050424
  0.86521046  0.63270457  0.05837743 -0.92023307  0.38699227 -0.19039389
  0.          0.          0.          1.        ]","[-0.74563745  0.58260918 -0.32340608  0.60818563 -0.66215053 -0.70223536
  0.26157662  0.61588551 -0.07471022  0.40918482  0.90938789 -0.25609243
  0.          0.          0.          1.        ]",2.643787020157872
0456,"[ 0.84950199 -0.45362179 -0.26939496  0.19019504  0.30615856  0.83970557
 -0.44851025 -0.03370209  0.42966655  0.29853285  0.85221172  0.42694079
  0.          0.          0.          1.        ]","[ 0.8732285   0.48728074  0.00542555  0.46558965 -0.42266332  0.75179591
  0.50612112 -0.25330139  0.24254416 -0.44425257  0.86244535  0.26627647
  0.          0.          0.          1.        ]",1.774357935506103
0771,"[ 0.53921854  0.84204919 -0.01402114  1.66901084 -0.72263756  0.47117302
  0.50575771 -0.37407031  0.43247928 -0.26258161  0.86256161  0.25592942
  0.          0.          0.          1.        ]","[-0.61877321  0.78482006 -0.0343127   1.30383763 -0.45222885 -0.32015379
  0.83246064 -0.20990895  0.64234648  0.5306215   0.55302082  0.28904321
  0.          0.          0.          1.        ]",1.7553100775598294
