Image ID,Ground Truth Pose,Other Pose,Difference
0372,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],"[ 0.81019496  0.51040384  0.28822221 -0.35366696  0.29215766 -0.77791248
  0.55632372 -0.153571    0.50816141 -0.36652435 -0.77937916 -0.80278614
  0.          0.          0.          1.        ]",2.8787711473192825
0393,"[ 0.99971953 -0.01064556  0.02115493 -0.68376753  0.01053631  0.99993065
  0.00526971 -0.05822151 -0.02120965 -0.00504531  0.99976228  0.13772871
  0.          0.          0.          1.        ]","[ 0.82655822  0.56233684 -0.02405794  0.50901002  0.53142596 -0.76561405
  0.36252114  0.01671661  0.18543989 -0.31242985 -0.93166498 -0.01922252
  0.          0.          0.          1.        ]",3.0326570540154303
0309,"[ 0.99851414  0.05438222 -0.00346734  0.51852918 -0.05447579  0.99776523
 -0.0386908  -0.03607549  0.0013555   0.03882226  0.99924521 -1.35252021
  0.          0.          0.          1.        ]","[ 0.76691306  0.47562941  0.43083758 -0.76457843  0.11524173 -0.7625023
  0.63663929 -0.32163978  0.63131902 -0.43859651 -0.63958533 -1.22872097
  0.          0.          0.          1.        ]",3.0094704201920135
0330,"[ 0.99891409 -0.01294134  0.04475589  0.41239951  0.01415965  0.99953483
 -0.02701237 -0.01763812 -0.04438554  0.02761677  0.99863265 -1.14931096
  0.          0.          0.          1.        ]","[ 0.78407506  0.61913822  0.04352189  0.58515681  0.57488425 -0.75088373
  0.32508724  0.23022928  0.23395381 -0.22987275 -0.94468203  0.03120601
  0.          0.          0.          1.        ]",3.0582973251388936
0414,"[ 0.99990816  0.00647205 -0.01190531 -1.01219771 -0.00681446  0.99955776
 -0.02894644 -0.04624714  0.0117126   0.02902494  0.99951005  0.16163291
  0.          0.          0.          1.        ]","[ 0.83337358  0.36555073  0.41456138 -1.04367361  0.14479099 -0.8682472
  0.47453385 -0.08224031  0.53340795 -0.33543922 -0.77650273 -0.59653207
  0.          0.          0.          1.        ]",2.870546812484976
0351,"[ 0.9992538  -0.02605116  0.02851362  0.2519072   0.02618178  0.99964832
 -0.00421645  0.00812044 -0.02839379  0.00495986  0.99958445 -0.54874876
  0.          0.          0.          1.        ]","[ 0.78682425  0.61522429  0.04905784  0.55462282  0.5578872  -0.74298112
  0.36978497  0.16044336  0.26394974 -0.26358705 -0.92782132 -0.13516263
  0.          0.          0.          1.        ]",2.8415656500284796
