Image Name,Camera Pose
0746.jpg,0.9597553014755249 -0.23353879153728485 0.15597952902317047 -1.169608473777771 0.21104909479618073 0.9662013053894043 0.14803223311901093 -2.0399832725524902 -0.18527887761592865 -0.10915537178516388 0.9766048789024353 -6.871138572692871 0.0 0.0 0.0 1.0
0898.jpg,0.9989514946937561 -0.03271092474460602 -0.03203102573752403 -0.33726605772972107 0.03354579955339432 0.999101996421814 0.025883490219712257 -0.6022891402244568 0.03115558810532093 -0.026930855587124825 0.9991517066955566 -6.631417274475098 0.0 0.0 0.0 1.0
1010.jpg,0.8373105525970459 -0.48352912068367004 0.2551681697368622 -1.6464980840682983 -0.0669262707233429 0.3725597858428955 0.9255918860435486 -6.907243728637695 -0.5426160097122192 -0.7920852303504944 0.27958738803863525 -1.149255394935608 0.0 0.0 0.0 1.0
1210.jpg,0.8520063757896423 0.4776398539543152 -0.214348703622818 2.078012466430664 -0.365996778011322 0.8361736536026001 0.4084850549697876 -4.253320693969727 0.3743414580821991 -0.2695809602737427 0.8872398734092712 -6.828324794769287 0.0 0.0 0.0 1.0
