Image Name,Camera Pose
0321.jpg,"0.8301246507457325 0.4851192075250145 0.274868002347632 -2.769834475764551 -0.4715064201690592 0.8738855203567427 -0.11834607323516763 -3.0353492222535174 -0.2976151205225206 -0.03136003509448007 0.9541707332732641 0.9171670686488554 0.0 0.0 0.0 1.0"
0483.jpg,"0.6531562768851055 -0.036690476127575145 0.75633371399609 -6.961128436218716 0.3757019626357835 0.8829151094340361 -0.28161843832516453 1.5655883873320182 -0.6574457492730543 0.4680969114346045 0.5904662295747118 2.4377009312506126 0.0 0.0 0.0 1.0"
0276.jpg,"0.5847816871544675 0.777745808245616 0.23052513122249385 -4.633325532371052 -0.7938296824154857 0.6071511080017526 -0.03466940103856961 -4.119045135479263 -0.1669275701761203 -0.16272366087517087 0.9724485572545618 1.1494926718386824 0.0 0.0 0.0 1.0"
0375.jpg,"0.98741948133501 0.06642665684887739 0.14349309091374846 1.5506706119277707 -0.01904876093788526 0.9508422828364806 -0.309089142282678 1.001166756553859 -0.1569710565258165 0.3024672749739908 0.9401455392560117 0.88939512846264 0.0 0.0 0.0 1.0"
0537.jpg,"0.47657918678819744 -0.8191314545138246 0.31921143298191357 2.270800097266308 0.7140352339796237 0.5724836558465218 0.4030088689151462 -4.507865232457868 -0.5128605691179279 0.035862571222199796 0.8577225149367177 0.8194171974284118 0.0 0.0 0.0 1.0"
0429.jpg,"0.8459446453676711 -0.37009063398467346 0.38394085431298874 -0.3421979828681039 0.5175917434306381 0.7431263498423811 -0.42410142100961123 4.668374526040279 -0.12836060184572884 0.5574909423540094 0.8201996129522623 1.3234486828144072 0.0 0.0 0.0 1.0"
