Image Name,Camera Pose
0309.jpg,"0.9594651150363334 -0.18871626896571247 0.209315223660336 -6.610961897230331 0.10985639746550091 0.9343949187823699 0.3388771277168028 0.4965435072594871 -0.2595347085925455 -0.3021461659219743 0.9172510176905956 2.1553392106943554 0.0 0.0 0.0 1.0"
0414.jpg,"0.9655497293955851 -0.25354796764081144 0.05854184972587001 -5.714869609000652 0.19494861063531885 0.8538357503774061 0.48265883457035247 -2.545507723650364 -0.17236229075836504 -0.4546184548417123 0.8738497017461657 -0.23300783819487658 0.0 0.0 0.0 1.0"
0393.jpg,"0.9174486836562462 -0.05610953426773295 -0.39387768789521355 2.863378415518219 0.19708068594545575 0.9240995748554768 0.3274128570768042 0.18995922302095794 0.34561122100517766 -0.37801017964624345 0.8588720440200187 0.05267222080197779 0.0 0.0 0.0 1.0"
0351.jpg,"0.941997755337455 0.018693497399231283 -0.3350981678466494 2.972108386443097 0.11371746893826107 0.9216098336618623 0.37108442672258574 -0.05991541898851931 0.31576663249537923 -0.3876672125067316 0.866028617396555 1.0486016591331617 0.0 0.0 0.0 1.0"
0330.jpg,"0.9299273973762139 0.037209837097662256 -0.3658557962261453 3.6760039357514613 0.12034878931084442 0.9092900372309464 0.39838147183818445 -0.6010227213596481 0.34749274024145493 -0.41449614740755986 0.8410955589371372 0.6032551856171026 0.0 0.0 0.0 1.0"
0372.jpg,"0.9916199666004621 -0.12911562859750092 -0.004358473490856121 -3.3622573910394515 0.12204149375611965 0.9251568757705927 0.35943097948865116 0.07786476453199302 -0.04237588513616325 -0.3569508504910282 0.9331614944331224 1.5037670701159522 0.0 0.0 0.0 1.0"
