Image ID,Ground Truth Pose,Other Pose,Difference
0321,"[ 0.83012465  0.48511921  0.274868   -2.76983448 -0.47150642  0.87388552
 -0.11834607 -3.03534922 -0.29761512 -0.03136004  0.95417073  0.91716707
  0.          0.          0.          1.        ]","[ 0.83012465  0.48511921  0.274868   -2.76983448 -0.47150642  0.87388552
 -0.11834607 -3.03534922 -0.29761512 -0.03136004  0.95417073  0.91716707
  0.          0.          0.          1.        ]",0.0
0483,"[ 0.65315628 -0.03669048  0.75633371 -6.96112844  0.37570196  0.88291511
 -0.28161844  1.56558839 -0.65744575  0.46809691  0.59046623  2.43770093
  0.          0.          0.          1.        ]","[ 0.65315628 -0.03669048  0.75633371 -6.96112844  0.37570196  0.88291511
 -0.28161844  1.56558839 -0.65744575  0.46809691  0.59046623  2.43770093
  0.          0.          0.          1.        ]",0.0
0276,"[ 0.58478169  0.77774581  0.23052513 -4.63332553 -0.79382968  0.60715111
 -0.0346694  -4.11904514 -0.16692757 -0.16272366  0.97244856  1.14949267
  0.          0.          0.          1.        ]","[ 0.58478169  0.77774581  0.23052513 -4.63332553 -0.79382968  0.60715111
 -0.0346694  -4.11904514 -0.16692757 -0.16272366  0.97244856  1.14949267
  0.          0.          0.          1.        ]",0.0
0375,"[ 0.98741948  0.06642666  0.14349309  1.55067061 -0.01904876  0.95084228
 -0.30908914  1.00116676 -0.15697106  0.30246727  0.94014554  0.88939513
  0.          0.          0.          1.        ]","[ 0.98741948  0.06642666  0.14349309  1.55067061 -0.01904876  0.95084228
 -0.30908914  1.00116676 -0.15697106  0.30246727  0.94014554  0.88939513
  0.          0.          0.          1.        ]",0.0
0537,"[ 0.47657919 -0.81913145  0.31921143  2.2708001   0.71403523  0.57248366
  0.40300887 -4.50786523 -0.51286057  0.03586257  0.85772251  0.8194172
  0.          0.          0.          1.        ]","[ 0.47657919 -0.81913145  0.31921143  2.2708001   0.71403523  0.57248366
  0.40300887 -4.50786523 -0.51286057  0.03586257  0.85772251  0.8194172
  0.          0.          0.          1.        ]",0.0
0429,"[ 0.84594465 -0.37009063  0.38394085 -0.34219798  0.51759174  0.74312635
 -0.42410142  4.66837453 -0.1283606   0.55749094  0.82019961  1.32344868
  0.          0.          0.          1.        ]","[ 0.84594465 -0.37009063  0.38394085 -0.34219798  0.51759174  0.74312635
 -0.42410142  4.66837453 -0.1283606   0.55749094  0.82019961  1.32344868
  0.          0.          0.          1.        ]",0.0
