Image ID,Ground Truth Pose,Other Pose,Difference
0321,[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1.],"[-0.73736406 -0.2864183  -0.61176695 -0.17208994 -0.6407601   0.58325423
  0.49924042 -0.30067021  0.21382407  0.76011779 -0.61359613  0.06143635
  0.          0.          0.          1.        ]",2.767526669854472
0276,"[ 0.94852059 -0.31633819 -0.01545576  0.06094916  0.28031375  0.86121675
 -0.42394563 -0.48665552  0.14742095  0.39778865  0.90555571 -0.22355165
  0.          0.          0.          1.        ]","[-0.61299874 -0.55401427 -0.56329453  0.1050348  -0.7711845   0.26455127
  0.5790398  -0.17885382 -0.17177602  0.78935468 -0.58941682 -0.18378051
  0.          0.          0.          1.        ]",2.801966913754318
0483,"[ 0.93545575 -0.11119636  0.33549655 -0.74495344 -0.18504755  0.65464521
  0.73293732 -0.12885101 -0.30113118 -0.74771318  0.59181493  0.66304198
  0.          0.          0.          1.        ]","[-0.3030117   0.01730971 -0.95282962 -0.0207096  -0.21670832  0.97238945
  0.086581    0.80044611  0.92802016  0.23272116 -0.29089422  0.36115191
  0.          0.          0.          1.        ]",2.9086663421933907
0375,"[ 0.9727716   0.21467011 -0.08736133 -0.10990348 -0.16260713  0.90075071
  0.40274939  0.57831989  0.16514902 -0.37757765  0.91113161  0.58656692
  0.          0.          0.          1.        ]","[-0.85510478 -0.00709608 -0.51840665 -0.94918847 -0.22650874  0.90454318
  0.36124151 -0.37756511  0.4663578   0.42632298 -0.77508652  0.7817867
  0.          0.          0.          1.        ]",2.969591522139561
0537,"[ 0.39163206  0.41580657  0.82081009 -0.83379395 -0.91563231  0.26413317
  0.30306969 -0.7433817  -0.0907848  -0.870252    0.4841689   0.22179733
  0.          0.          0.          1.        ]","[-0.13463103  0.83740247 -0.52974672 -0.75339226  0.15150037  0.54572392
  0.82415596 -1.04409009  0.97924569  0.03070014 -0.20033816  0.06476083
  0.          0.          0.          1.        ]",2.5129815726461002
0429,"[ 0.92169382  0.32623225  0.209888   -1.09748697 -0.36056886  0.52092007
  0.77371341 -0.05654792  0.14307538 -0.78880592  0.59775797  0.99956637
  0.          0.          0.          1.        ]","[-0.64411714  0.26827909 -0.71633752 -0.93484321  0.21180997  0.9624148
  0.16998318  0.26361686  0.73501677 -0.04223835 -0.67673206  1.16206566
  0.          0.          0.          1.        ]",2.624402526141949
