Image Name,Camera Pose
0456.jpg,-0.24170830845832825 -0.8699191212654114 -0.4299042522907257 3.614166498184204 0.9529803395271301 -0.2962628901004791 0.06369207799434662 -1.4086874723434448 -0.18277165293693542 -0.3942953944206238 0.9006251096725464 -5.422491073608398 0.0 0.0 0.0 1.0
0603.jpg,0.5980250239372253 -0.7676428556442261 -0.230413556098938 1.6482889652252197 0.7846426963806152 0.5021350383758545 0.3635879456996918 -3.3861358165740967 -0.16340699791908264 -0.3982270061969757 0.9026147127151489 -5.686851501464844 0.0 0.0 0.0 1.0
0645.jpg,0.9878720641136169 0.15145717561244965 -0.03419868275523186 -0.35866349935531616 -0.15147455036640167 0.9884589910507202 0.0020973423961549997 0.2617860734462738 0.03412165120244026 0.003108323784545064 0.9994128942489624 -6.98064661026001 0.0 0.0 0.0 1.0
0771.jpg,0.7147201895713806 -0.27660661935806274 -0.642389178276062 4.251018524169922 0.11078910529613495 0.9516506791114807 -0.2865080237388611 2.267294406890869 0.6905801296234131 0.13360334932804108 0.7108089327812195 -4.973519325256348 0.0 0.0 0.0 1.0
